number,height_mm
1,50
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,175
36,175
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,75
56,75
57,75
58,125
59,125
60,175
61,300
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,75
70,75
71,75
72,75
73,75
74,75
75,75
76,100
77,100
78,100
79,100
80,100
81,175
82,300
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,75
102,75
103,75
104,125
105,125
106,175
107,300
108,50
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
